item_id,criterion,sub_criteria,section,kind,status,text
7-1hg3t5b,7,,How a data specialist judges the result,What to check,built-in-edited,"**Trend, not snapshot.** GD4 mandates a **three-year trend** for the performance indicators (7.2.2, 7.2.3, 7.2.4), so three years is the expectation rather than ""two or three"". Look for three years of data to show direction. A single year's figure cannot demonstrate improvement — that is ""Limited"" on Systems & Outcomes at best — and two years falls short of what GD4 asks unless the indicator or the PEI is genuinely younger than that, which should be stated."
7-1yjyccu,7,,Data analytics & the higher bands,What to check,built-in-edited,"**Descriptive → analytical → predictive.** Reporting a figure is descriptive (Band 2–3). Analysing it — the GD4-mandated three-year trend, segmentation (by course/cohort/intake), correlation between a leading indicator and an outcome, and benchmarking against targets and external peers — is Band 4. Using leading indicators to *predict* a shortfall and act pre-emptively is Band 5."
,1,1.1.1,What a finance/governance specialist verifies,What to check,custom-draft,"**Record-keeping by the staff who handle money (1.1.1).** GD4 1.1.1 requires financial statements to be monitored regularly *and* the staff handling finances to maintain accurate, proper record-keeping of financial data and fee payments. Check there is a defined record-keeping procedure for those staff — receipting, the fee-payment ledger, who reconciles it and how often — and sample it against actual payment records. Regular board monitoring with no evidence of how the underlying records are kept, or fee records that cannot be reconciled to receipts, is a finding on 1.1.1 in its own right, separate from the audited-accounts check above."
,1,1.2.1,Strategic planning specifics (1.2),What to check,custom-draft,"**Cascade into department/unit work plans (1.2.1).** Separately from the budget/risk/BCP alignment above, GD4 1.2.1 requires department/unit work plans aligned to the strategic plan, and the review and revision of those plans. Trace at least one strategic thrust down into a named department's work plan and check it carries its own KPIs, targets, owners and timelines, and that the plan was actually reviewed. Strategic objectives that stop at institution level and never appear in a unit work plan are a cascade gap — the strategy is written but not operationalised, which is Approach without Processes."
,2,2.1.1,Human Resource (2.1.1–2.1.2),What to check,custom-draft,"**The Academic Board's role is at *recruitment*, not deployment (2.1.1).** GD4 2.1.1 requires that, for academic positions, the Academic Board — and the external academic partner where applicable — **sets the selection criteria before recruitment** and **approves all shortlisted staff before recruitment**. Check the dates: Board minutes approving the criteria must predate the job advertisement, and Board approval of the shortlist must predate the appointment letter. Board endorsement of a lecturer's *deployment* to a module after they were already hired is a different control and does not satisfy this. Check the middle limb too — verification of the originality of applicants' academic qualifications, not merely a photocopy on file."
,2,2.1.1,Human Resource (2.1.1–2.1.2),What to check,custom-draft,"**Targets in individual staff work plans, set and monitored (2.1.1).** GD4 2.1.1 requires the setting and monitoring of achievement of targets in individual staff work plans. Check this is a live cycle, not an annual form: each staff member has a work plan carrying targets that trace up to the department/unit plan (cross-reference 1.2.1), and there is a mid-cycle or periodic monitoring record, not only the year-end appraisal. Appraisal ratings with no underlying agreed targets, or targets set once and never revisited until the appraisal, are the usual gaps."
,2,2.3.2,"Data, Information & Knowledge Management (2.3.1–2.3.2) and Feedback (2.4.1–2.4.3)",What to check,custom-draft,"**An up-to-date policy and operations manual, readily accessible by staff (2.3.2).** GD4 2.3.2 requires the PEI to maintain up-to-date policy and operations manual(s) that are readily accessible by staff — a separate requirement from the document-control register and its revision history. Check the manual exists, carries a current version and approval date, and that staff can actually reach it: a shared-drive path, intranet or LMS location, ideally with evidence staff were told where it is. A manual several versions behind the procedures actually in use fails the ""up-to-date"" limb; one held only by the QA manager fails ""readily accessible""."
,2,2.4.1,"Data, Information & Knowledge Management (2.3.1–2.3.2) and Feedback (2.4.1–2.4.3)",What to check,custom-draft,"**Dispute resolution is a named requirement, separate from feedback handling (2.4.1).** GD4 2.4.1 requires the dispute resolution policy and procedures to be **aligned with the Private Education Regulations** and **communicated to students**. Check a distinct dispute-resolution policy exists (not just a complaints workflow), that it reflects the regulatory route available to students, and that students were actually told about it — student handbook, contract, orientation deck, website. A well-run complaints log with no dispute-resolution policy behind it is a 2.4.1 gap."
,2,2.4.2,"Data, Information & Knowledge Management (2.3.1–2.3.2) and Feedback (2.4.1–2.4.3)",What to check,custom-draft,"**The student satisfaction survey has 9 mandated topics (2.4.2).** GD4 2.4.2 requires the survey to cover all of: overall student satisfaction level; quality of student support services; physical facilities and infrastructure to support learning; effectiveness of communication; course counselling, if applicable; adequacy, accessibility and quality of teaching-learning resources and the school environment; academic staff performance, i.e. quality of teaching; pre-course counselling experience; and assessment methods and frequency. Check the instrument itself against this list, topic by topic. A missing topic is a coverage gap on 2.4.2 however good the response rate or the analysis of the topics present."
,2,2.4.3,"Data, Information & Knowledge Management (2.3.1–2.3.2) and Feedback (2.4.1–2.4.3)",What to check,custom-draft,"**The staff satisfaction survey has 7 mandated topics and must reach all staff (2.4.3).** GD4 2.4.3 requires the survey to cover: overall staff satisfaction level; human resource policy and practices; physical facilities and infrastructure; training and development opportunities provided; effectiveness of communication; and, for academic staff, teaching-learning resources and support, and assessment methods and frequency. It must go to **all staff**: check the distribution list and respondent count against the full staff list, since excluding part-time staff is a recurring real finding here and GD4 2.1.1 defines staff as minimally full-time, part-time, academic and non-academic."
,3,3.1.1,Selection & Appointment (3.1),What to check,custom-draft,"**The published agent list has mandated contents (3.1.1).** GD4 3.1.1 requires an up-to-date agent list **published on the website** stating, for each agent, the countries in which they recruit or perform marketing roles and the start and end date of the current contract — and listing agents who are **no longer representing the PEI, with the effective date of non-representation**. Open the live website, not just the internal roster. A list showing only current agents, omitting territories or contract dates, or dropping departed agents silently, is a direct 3.1.1 gap, and it is exactly what lets a student be recruited by an agent whose contract had already ended."
,4,4.1.1,"Pre-Course Counselling, Selection & Admission (4.1)",What to check,custom-draft,"**Counsellors trained *and* monitored (4.1.1).** GD4 4.1.1 opens by requiring all course counsellors to be adequately trained and monitored for service delivery. Check both halves: training records naming each counsellor and what they were trained on, and an actual monitoring record — session observation, mystery shopping, file review or counselling-quality sampling. Counselling forms on file prove the session happened; they do not prove the counsellor was competent or supervised. Training with no monitoring is Approach and Processes with no Review."
,4,4.1.1,"Pre-Course Counselling, Selection & Admission (4.1)",What to check,custom-draft,"**Student's Pass holders need three extra counselling topics (4.1.1).** For Student's Pass holders GD4 4.1.1 requires pre-course counselling to additionally cover: Student's Pass application requirements and procedures; that the student is **not permitted to engage in any form of employment or attend an industrial attachment/internship, whether paid or unpaid, without a valid work pass issued by the Ministry of Manpower**; and other relevant Singapore laws. Check the form actually used for international students carries these items — one generic form used for local and international students alike is usually missing the work-pass prohibition, and that omission is a finding, not a formatting quibble."
,4,4.1.1,"Pre-Course Counselling, Selection & Admission (4.1)",What to check,custom-draft,"**Selection and admissions staff are monitored too (4.1.1).** Separately from counselling, GD4 4.1.1 requires monitoring of the staff performing student selection and admissions to ensure the procedures are adhered to. Look for a supervisory check over admission files — verification of applicant suitability and entry requirements, verification of the originality of supporting documents, Management and external partner approval of shortlisted applicants — evidenced by a reviewer's sign-off, a periodic file audit or an exception report. Correctly completed admission files are the output; the absence of any check that someone verifies them is the gap."
